FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
51000,16.606347792,3.5405507843,4.0459945667,8.0992470379,15.105093775,30.5,8.8,22.2,17.680705777,1192,16.272552866,10.101310316,43,51,13.3,148017,30874,24.33896873,206.96498533,7.7,14.608606613,76.955885345,40.8
51001,23.949829764,4.7861115084,4.8979254483,9.9807321773,23.360403299,37.4,8.1,32.8,17.763474184,7,29.916025192,16.990371163,43,46,28.5,89509,22169,39.520348837,225.86798932,7.3,13.082039911,73.75146886,30.6
51003,14.191347088,3.5103154316,4.0497421478,6.5105576611,14.088672154,23,8.8,14.9,19.735421193,24,5.2432016115,9.7049378976,50,62,7.3,160273,35196,22.127088444,100.24372051,7.1,13.257528427,75.584480027,23
51005,21.260643002,4.7371502234,5.1144567924,7.8453038674,24.310334355,33.4,7.7,31.4,19.125431571,4,27.534823453,10.418730302,38,51,18.8,94545,16996,25.096796902,195.93591,7.2,11.507647487,85.524040125,33
51007,19.813418841,4.3795194142,4.6901939391,7.5757575758,21.852501253,44.1,8.3,28.5,19.370230625,9,16.181229773,13.584288052,39,47,13.8,124679,24600,17.507204611,117.10516043,7.9,13.510638298,86.80389341,73
51009,20.082973766,4.3736226769,4.6816472354,7.6651982379,21.562972388,28.8,8.1,27.4,17.852015992,7,20.09832273,12.063096721,31,50,16.9,103234,24301,25.904392765,133.08074087,8,12.262592898,81.818814846,30.1
51011,20.286937952,4.5133133151,4.7262196142,9.0979182729,22.46135804,40.7,8.5,30.2,17.84338952,4,25.550942191,11.797662878,32,52,18.5,108727,21720,24.955223881,113.91745866,7.9,10.924369748,81.575603558,50.9
51013,11.213651984,2.7526284937,3.4671844281,6.6888378847,10.087906915,18.6,9.5,12.2,22.424878888,4,9.5161236087,6.6630362724,40,52,9.1,216708,55811,16.821866255,149.40293038,7.7,15.584986805,51.368806697,45.1
51015,16.555281785,3.8937844336,4.5037579216,6.016646849,19.110166495,34.8,8.8,25.6,17.632703691,25,17.026578073,10.387485043,51,56,10.6,107830,28414,18.440263934,124.89029906,7.7,10.263980549,85.899396843,32.4
51017,22.366377538,4.9327332881,5.1739102056,5.2816901408,24.687761808,25.5,8,24.9,18.331268178,1,28.225806452,12.629533679,50,32,13.6,96441,25422,21.659634318,111.22233344,6.6,12.466124661,84.051948052,32.6
51019,15.551989258,3.7251359309,4.2990993888,7.298951049,18.765852855,34.6,8.9,20.9,18.737469391,25,14.953155054,10.265581252,nan,nan,11,116971,28892,17.408393559,82.536133929,7.8,8.6499595796,85.028933591,43.6
51021,16.501756596,3.9770526048,4.5259928191,9.2948717949,20.654108846,27.5,8.1,27.1,21.145842597,1,13.278855975,9.1967680608,41,44,15.6,89070,21194,12.074001947,75.797771546,7.6,8.59375,91.859956236,42.8
51023,14.902231251,3.6982421694,4.2088001124,6.6145520144,18.736580265,29,8.5,18,19.8906157,7,10.065645514,8.0676744733,45,53,7.9,126783,32141,13.437451678,105.79131907,7.6,10.271903323,85.978185486,46.1
51025,26.052133115,4.9724582937,4.851887222,11.192468619,24.285346373,44.4,7.3,38.4,15.418525216,5,29.225352113,12.665105386,44,46,26.7,84406,17670,58.832063838,131.97756381,8.1,14.132231405,84.869092146,48.7
51027,27.995350043,5.761976643,5.6866689106,8.359375,29.112445789,36.3,nan,39.7,16.056466585,5,37.886597938,12.913608858,33,31,31.3,68893,14218,38.144603934,215.63929427,8.7,14.301552106,85.220729367,42.6
51029,24.362612862,4.7780122927,4.883760598,9.5431472081,25.307934282,42.4,7.8,35.4,16.944176157,13,18.847006652,14.011299435,39,43,22.2,83990,20281,22.797427653,129.1269259,7.7,14.460999124,81.964965727,60.2
51031,18.827542137,4.3978961026,4.753483656,7.6315789474,21.179874822,38.4,8.4,31.3,16.969003928,20,19.556596972,11.688908285,33,52,14.3,96646,23168,24.838562983,198.79272001,8.3,10.415745245,86.015699789,32
51033,18.36477374,4.0146773019,4.3863619448,8.8043060361,19.952404842,43,9,31,18.320392604,13,25.311942959,11.326745247,40,46,14.1,113989,35823,31.484129254,142.65574651,8,10.03236246,80.342709344,55.7
51035,21.0380744,4.7341733723,5.0860874595,7.2051133062,23.56957419,34,8.3,25.8,18.367776715,8,28.571428571,13.102890277,42,51,20.3,78077,19392,18.002863278,97.730298077,7.8,10.707151418,83.490455785,34
51036,23.042018959,4.7349280392,4.8969949137,11.299435028,23.398949658,38.7,8.5,34.5,16.68789732,7,18.026565465,15.195702226,47,51,18.7,108639,20688,23.020257827,71.138934339,6.5,12.24137931,81.376396016,70.3
51037,24.432619543,5.0847079797,5.2190443572,10.774058577,25.027598677,36,6.3,25.4,17.013699073,6,22.897749704,14.792834377,32,42,29.5,77991,15954,38.33145434,217.99037552,8.1,13.236929922,75.796568627,54.2
